1F4AE,white_flower,416: :white_flower:
1F4AF,100,417: :100:
1F4B0,moneybag,418: :moneybag:
1F4B1,currency_exchange,419: :currency_exchange:
1F4B2,heavy_dollar_sign,420: :heavy_dollar_sign:
1F4B3,credit_card,421: :credit_card:
1F4B4,yen,422: :yen:
1F4B5,dollar,423: :dollar:
1F4B6,euro,424: :euro:
1F4B7,pound,425: :pound:
1F4B8,money_with_wings,426: :money_with_wings:
1F4B9,chart,427: :chart:
1F4BA,seat,428: :seat:
1F4BB,computer,429: :computer:
1F4BC,briefcase,430: :briefcase:
1F4BD,minidisc,431: :minidisc:
1F4BE,floppy_disk,432: :floppy_disk:
1F4BF,cd,433: :cd:
1F4C0,dvd,434: :dvd:
1F4C1,file_folder,435: :file_folder:
1F4C2,open_file_folder,436: :open_file_folder:
1F4C3,page_with_curl,437: :page_with_curl:
1F4C4,page_facing_up,438: :page_facing_up:
1F4C5,date,439: :date:
1F4C6,calendar,440: :calendar:
1F4C7,card_index,441: :card_index:
1F4C8,chart_with_upwards_trend,442: :chart_with_upwards_trend:
1F4C9,chart_with_downwards_trend,443: :chart_with_downwards_trend:
1F4CA,bar_chart,444: :bar_chart:
1F4CB,clipboard,445: :clipboard:
1F4CC,pushpin,446: :pushpin:
1F4CD,round_pushpin,447: :round_pushpin:
1F4CE,paperclip,448: :paperclip:
1F4CF,straight_ruler,449: :straight_ruler:
1F4D0,triangular_ruler,450: :triangular_ruler:
1F4D1,bookmark_tabs,451: :bookmark_tabs:
1F4D2,ledger,452: :ledger:
1F4D3,notebook,453: :notebook:
1F4D4,notebook_with_decorative_cover,454: :notebook_with_decorative_cover:
1F4D5,closed_book,455: :closed_book:
1F4D6,book/open_book,456: :book/open_book:
1F4D7,green_book,457: :green_book:
1F4D8,blue_book,458: :blue_book:
1F4D9,orange_book,459: :orange_book:
1F4DA,books,460: :books:
1F4DB,name_badge,461: :name_badge:
1F4DC,scroll,462: :scroll:
1F4DD,memo/pencil,463: :memo/pencil:
1F4DE,telephone_receiver,464: :telephone_receiver:
1F4DF,pager,465: :pager:
1F4E0,fax,466: :fax:
1F4E1,satellite_antenna,467: :satellite_antenna:
1F4E2,loudspeaker,468: :loudspeaker:
1F4E3,mega,469: :mega:
1F4E4,outbox_tray,470: :outbox_tray:
1F4E5,inbox_tray,471: :inbox_tray:
1F4E6,package,472: :package:
1F4E7,e-mail,473: :e-mail:
1F4E8,incoming_envelope,474: :incoming_envelope:
1F4E9,envelope_with_arrow,475: :envelope_with_arrow:
1F4EA,mailbox_closed,476: :mailbox_closed:
1F4EB,mailbox,477: :mailbox:
1F4EC,mailbox_with_mail,478: :mailbox_with_mail:
1F4ED,mailbox_with_no_mail,479: :mailbox_with_no_mail:
1F4EE,postbox,480: :postbox:
1F4EF,postal_horn,481: :postal_horn:
1F4F0,newspaper,482: :newspaper:
1F4F1,iphone,483: :iphone:
1F4F2,calling,484: :calling:
1F4F3,vibration_mode,485: :vibration_mode:
1F4F4,mobile_phone_off,486: :mobile_phone_off:
1F4F5,no_mobile_phones,487: :no_mobile_phones:
1F4F6,signal_strength,488: :signal_strength:
1F4F7,camera,489: :camera:
1F4F9,video_camera,490: :video_camera:
