1f6f5,1f6f5,motor scooter,:motor_scooter:,:motorbike:,15,11,123: :motor_scooter: | :motorbike:,123: :motor_scooter:,123: :motorbike:
2755,2755,white exclamation mark,:grey_exclamation:,,18,0,124: :grey_exclamation: | ,124: :grey_exclamation:,124: 
2757,2757,exclamation mark,:exclamation:,,13,0,125: :exclamation: | ,125: :exclamation:,125: 
2764,2764-fe0f,red heart,:heart:,,7,0,126: :heart: | ,126: :heart:,126: 
2795,2795,heavy plus sign,:heavy_plus_sign:,,17,0,127: :heavy_plus_sign: | ,127: :heavy_plus_sign:,127: 
2796,2796,heavy minus sign,:heavy_minus_sign:,,18,0,128: :heavy_minus_sign: | ,128: :heavy_minus_sign:,128: 
2797,2797,heavy division sign,:heavy_division_sign:,,21,0,129: :heavy_division_sign: | ,129: :heavy_division_sign:,129: 
27a1,27a1-fe0f,right arrow,:arrow_right:,,13,0,130: :arrow_right: | ,130: :arrow_right:,130: 
27b0,27b0,curly loop,:curly_loop:,,12,0,131: :curly_loop: | ,131: :curly_loop:,131: 
2934,2934-fe0f,right arrow curving up,:arrow_heading_up:,,18,0,132: :arrow_heading_up: | ,132: :arrow_heading_up:,132: 
2935,2935-fe0f,right arrow curving down,:arrow_heading_down:,,20,0,133: :arrow_heading_down: | ,133: :arrow_heading_down:,133: 
2b05,2b05-fe0f,left arrow,:arrow_left:,,12,0,134: :arrow_left: | ,134: :arrow_left:,134: 
2b06,2b06-fe0f,up arrow,:arrow_up:,,10,0,135: :arrow_up: | ,135: :arrow_up:,135: 
1f6f4,1f6f4,kick scooter,:scooter:,,9,0,136: :scooter: | ,136: :scooter:,136: 
2b07,2b07-fe0f,down arrow,:arrow_down:,,12,0,137: :arrow_down: | ,137: :arrow_down:,137: 
2b1b,2b1b,black large square,:black_large_square:,,20,0,138: :black_large_square: | ,138: :black_large_square:,138: 
2b1c,2b1c,white large square,:white_large_square:,,20,0,139: :white_large_square: | ,139: :white_large_square:,139: 
2b50,2b50,white medium star,:star:,,6,0,140: :star: | ,140: :star:,140: 
2b55,2b55,heavy large circle,:o:,,3,0,141: :o: | ,141: :o:,141: 
3030,3030-fe0f,wavy dash,:wavy_dash:,,11,0,142: :wavy_dash: | ,142: :wavy_dash:,142: 
303d,303d-fe0f,part alternation mark,:part_alternation_mark:,,23,0,143: :part_alternation_mark: | ,143: :part_alternation_mark:,143: 
3297,3297-fe0f,Japanese “congratulations” button,:congratulations:,,17,0,144: :congratulations: | ,144: :congratulations:,144: 
1f6d2,1f6d2,shopping cart,:shopping_cart:,:shopping_trolley:,15,18,145: :shopping_cart: | :shopping_trolley:,145: :shopping_cart:,145: :shopping_trolley:
3299,3299-fe0f,Japanese “secret” button,:secret:,,8,0,146: :secret: | ,146: :secret:,146: 
1f004,1f004,mahjong red dragon,:mahjong:,,9,0,147: :mahjong: | ,147: :mahjong:,147: 
1f0cf,1f0cf,joker,:black_joker:,,13,0,148: :black_joker: | ,148: :black_joker:,148: 
1f170,1f170-fe0f,A button (blood type),:a:,,3,0,149: :a: | ,149: :a:,149: 
1f171,1f171-fe0f,B button (blood type),:b:,,3,0,150: :b: | ,150: :b:,150: 
1f17e,1f17e-fe0f,O button (blood type),:o2:,,4,0,151: :o2: | ,151: :o2:,151: 
1f17f,1f17f-fe0f,P button,:parking:,,9,0,152: :parking: | ,152: :parking:,152: 
1f6d1,1f6d1,stop sign,:octagonal_sign:,:stop_sign:,16,11,153: :octagonal_sign: | :stop_sign:,153: :octagonal_sign:,153: :stop_sign:
1f18e,1f18e,AB button (blood type),:ab:,,4,0,154: :ab: | ,154: :ab:,154: 
1f191,1f191,CL button,:cl:,,4,0,155: :cl: | ,155: :cl:,155: 
1f1fe,1f1fe,regional indicator symbol letter y,:regional_indicator_y:,,22,0,156: :regional_indicator_y: | ,156: :regional_indicator_y:,156: 
1f192,1f192,COOL button,:cool:,,6,0,157: :cool: | ,157: :cool:,157: 
1f193,1f193,FREE button,:free:,,6,0,158: :free: | ,158: :free:,158: 
1f194,1f194,ID button,:id:,,4,0,159: :id: | ,159: :id:,159: 
1f195,1f195,NEW button,:new:,,5,0,160: :new: | ,160: :new:,160: 
1f196,1f196,NG button,:ng:,,4,0,161: :ng: | ,161: :ng:,161: 
1f197,1f197,OK button,:ok:,,4,0,162: :ok: | ,162: :ok:,162: 
1f198,1f198,SOS button,:sos:,,5,0,163: :sos: | ,163: :sos:,163: 
1f944,1f944,spoon,:spoon:,,7,0,164: :spoon: | ,164: :spoon:,164: 
1f199,1f199,UP! button,:up:,,4,0,165: :up: | ,165: :up:,165: 
1f19a,1f19a,VS button,:vs:,,4,0,166: :vs: | ,166: :vs:,166: 
1f1e8-1f1f3,1f1e8-1f1f3,China,:flag_cn:,:cn:,9,4,167: :flag_cn: | :cn:,167: :flag_cn:,167: :cn:
