emoji,description,aliases/0,aliases/1,aliases/2,1: :aliases/0: | :aliases/1: | :aliases/2:,tags/0,tags/1,tags/2,tags/3,emoticons/0,emoticons/1,emoticons/2,emoticons/3,emoticons/4,emoticons/5,emoticons/6,emoticons/7,emoticons/8,emoticons/9,emoticons/10,emoticons/11,emoticons/12,emoticons/13,emoticons/14,emoticons/15,emoticons/16,emoticons/17,emoticons/18,emoticons/19,emoticons/20,emoticons/21,emoticons/22,emoticons/23,emoticons/24,emoticons/25,emoticons/26,emoticons/27,emoticons/28,emoticons/29,emoticons/30,emoticons/31,emoticons/32,emoticons/33,emoticons/34,emoticons/35
💩,pile of poo,hankey,poop,shit,91: :hankey: | :poop: | :shit:,crap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🔥,fire,fire,,,92: :fire: | :: | ::,burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
✨,sparkles,sparkles,,,93: :sparkles: | :: | ::,shiny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🌟,glowing star,star2,,,94: :star2: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
💫,dizzy symbol,dizzy,,,95: :dizzy: | :: | ::,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
💥,collision symbol,boom,collision,,96: :boom: | :collision: | ::,explode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
💢,anger symbol,anger,,,97: :anger: | :: | ::,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
💦,splashing sweat symbol,sweat_drops,,,98: :sweat_drops: | :: | ::,water,workout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
💧,droplet,droplet,,,99: :droplet: | :: | ::,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
💤,sleeping symbol,zzz,,,100: :zzz: | :: | ::,sleeping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
💨,dash symbol,dash,,,101: :dash: | :: | ::,wind,blow,fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👂,ear,ear,,,102: :ear: | :: | ::,hear,sound,listen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👀,eyes,eyes,,,103: :eyes: | :: | ::,look,see,watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👃,nose,nose,,,104: :nose: | :: | ::,smell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👅,tongue,tongue,,,105: :tongue: | :: | ::,taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👄,mouth,lips,,,106: :lips: | :: | ::,kiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👍,thumbs up sign,+1,thumbsup,,107: :+1: | :thumbsup: | ::,approve,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👎,thumbs down sign,-1,thumbsdown,,108: :-1: | :thumbsdown: | ::,disapprove,bury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👌,ok hand sign,ok_hand,,,109: :ok_hand: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👊,fisted hand sign,facepunch,punch,,110: :facepunch: | :punch: | ::,attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
✊,raised fist,fist,,,111: :fist: | :: | ::,power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
✌️,victory hand,v,,,112: :v: | :: | ::,victory,peace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👋,waving hand sign,wave,,,113: :wave: | :: | ::,goodbye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
✋,raised hand,hand,raised_hand,,114: :hand: | :raised_hand: | ::,highfive,stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👐,open hands sign,open_hands,,,115: :open_hands: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👆,white up pointing backhand index,point_up_2,,,116: :point_up_2: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👇,white down pointing backhand index,point_down,,,117: :point_down: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👉,white right pointing backhand index,point_right,,,118: :point_right: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👈,white left pointing backhand index,point_left,,,119: :point_left: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🙌,person raising both hands in celebration,raised_hands,,,120: :raised_hands: | :: | ::,hooray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🙏,person with folded hands,pray,,,121: :pray: | :: | ::,please,hope,wish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
