:sparkles:,:metal:,:wave:,,:cherries:,,:sparkles:
:eight_spoked_asterisk:,:writing_hand:,:open_hands:,,:strawberry:,,:eight_spoked_asterisk:
:eight_pointed_black_star:,:selfie:,:point_up_2:,,:hamburger:,,:eight_pointed_black_star:
:snowflake:,:nail_care:,:point_down:,,:pizza:,,:snowflake:
:sparkle:,:lips:,:point_right:,,:meat_on_bone:,,:sparkle:
:x:,:tongue:,:point_left:,,:poultry_leg:,,:x:
:negative_squared_cross_mark:,:ear:,:raised_hands:,,:rice_cracker:,,:negative_squared_cross_mark:
:question:,:nose:,:pray:,,:rice_ball:,,:question:
:grey_question:,:eye:,:point_up:,,:rice:,,:grey_question:
:motor_scooter:,:eyes:,:clap:,,:curry:,,:motor_scooter:
:grey_exclamation:,:bust_in_silhouette:,:muscle:,,:ramen:,,:grey_exclamation:
:exclamation:,:busts_in_silhouette:,:walking:,,:spaghetti:,,:exclamation:
:heart:,:speaking_head:,:runner:,,:bread:,,:heart:
:heavy_plus_sign:,:baby:,:dancer:,,:fries:,,:heavy_plus_sign:
:heavy_minus_sign:,:boy:,:couple:,,:sweet_potato:,,:heavy_minus_sign:
:heavy_division_sign:,:girl:,:family:,,:dango:,,:heavy_division_sign:
:arrow_right:,:man:,:two_men_holding_hands:,,:oden:,,:arrow_right:
:curly_loop:,:woman:,:two_women_holding_hands:,,:sushi:,,:curly_loop:
:arrow_heading_up:,:older_man:,:couplekiss:,,:fried_shrimp:,,:arrow_heading_up:
:arrow_heading_down:,:older_woman:,:couple_with_heart:,,:fish_cake:,,:arrow_heading_down:
:arrow_left:,:man_with_gua_pi_mao:,:dancers:,,:icecream:,,:arrow_left:
:arrow_up:,:man_with_turban:,:ok_woman:,,:shaved_ice:,,:arrow_up:
:scooter:,:guardsman:,:no_good:,,:ice_cream:,,:scooter:
:arrow_down:,:woman_health_worker:,:information_desk_person:,,:doughnut:,,:arrow_down:
:black_large_square:,:man_health_worker:,:raising_hand:,,:cookie:,,:black_large_square:
:white_large_square:,:woman_farmer:,:massage:,,:chocolate_bar:,,:white_large_square:
:star:,:man_farmer:,:haircut:,,:candy:,,:star:
:o:,:woman_cook:,:nail_care:,,:lollipop:,,:o:
:wavy_dash:,:man_cook:,:bride_with_veil:,,:custard:,,:wavy_dash:
:part_alternation_mark:,:woman_student:,:person_with_pouting_face:,,:honey_pot:,,:part_alternation_mark:
:congratulations:,:man_student:,:person_frowning:,,:cake:,,:congratulations:
:shopping_cart:,:woman_singer:,:bow:,,:bento:,,:shopping_cart:
:secret:,:man_singer:,:tophat:,,:stew:,,:secret:
:mahjong:,:woman_teacher:,:crown:,,:fork_and_knife:,,:mahjong:
:black_joker:,:man_teacher:,:womans_hat:,,:tea:,,:black_joker:
:a:,:woman_factory_worker:,:athletic_shoe:,,:sake:,,:a:
:b:,:man_factory_worker:,:mans_shoe:,,:wine_glass:,,:b:
:o2:,:woman_technologist:,:sandal:,,:cocktail:,,:o2:
:parking:,:man_technologist:,:high_heel:,,:tropical_drink:,,:parking:
:octagonal_sign:,:woman_office_worker:,:boot:,,:beer:,,:octagonal_sign:
:ab:,:man_office_worker:,:shirt:,,:beers:,,:ab:
:cl:,:woman_mechanic:,:necktie:,,:baby_bottle:,,:cl:
:cool:,:man_mechanic:,:womans_clothes:,,:ribbon:,,:cool:
:free:,:woman_scientist:,:dress:,,:gift:,,:free:
:id:,:man_scientist:,:running_shirt_with_sash:,,:birthday:,,:id:
:new:,:woman_artist:,:jeans:,,:jack_o_lantern:,,:new:
:ng:,:man_artist:,:kimono:,,:christmas_tree:,,:ng:
:ok:,:woman_firefighter:,:bikini:,,:santa:,,:ok:
:sos:,:man_firefighter:,:briefcase:,,:fireworks:,,:sos:
:spoon:,:woman_pilot:,:handbag:,,:sparkler:,,:spoon:
:up:,:man_pilot:,:pouch:,,:balloon:,,:up:
:vs:,:woman_astronaut:,:purse:,,:tada:,,:vs:
:flag_cn:,:man_astronaut:,:eyeglasses:,,:confetti_ball:,,:flag_cn:
:flag_de:,:woman_judge:,:ribbon:,,:tanabata_tree:,,:flag_de:
:flag_es:,:man_judge:,:closed_umbrella:,,:crossed_flags:,,:flag_es:
:flag_fr:,:mrs_claus:,:lipstick:,,:bamboo:,,:flag_fr:
:flag_gb:,:santa:,:yellow_heart:,,:dolls:,,:flag_gb:
:champagne_glass:,:angel:,:blue_heart:,,:flags:,,:champagne_glass:
:tumbler_glass:,:pregnant_woman:,:purple_heart:,,:wind_chime:,,:tumbler_glass:
:flag_it:,:princess:,:green_heart:,,:rice_scene:,,:flag_it:
:flag_jp:,:prince:,:heart:,,:school_satchel:,,:flag_jp:
:flag_kr:,:bride_with_veil:,:broken_heart:,,:mortar_board:,,:flag_kr:
:flag_us:,:man_in_tuxedo:,:heartpulse:,,:carousel_horse:,,:flag_us:
:flag_ru:,:dancer:,:heartbeat:,,:ferris_wheel:,,:flag_ru:
:koko:,:man_dancing:,:two_hearts:,,:roller_coaster:,,:koko:
